SourceGene	Shared_trans-eQTLs	Neighbors_T1	Neighbors_T2	trans-eQTLs_T1	trans-eQTLs_T2
ENSG00000197958.8	1	1	7	2	1
ENSG00000197756.5	15	16	26	17	27
ENSG00000159189.7	3	2	4	3	5
ENSG00000122304.6	2	1	2	2	3
ENSG00000099290.11	2	1	1	2	2
ENSG00000108821.9	2	1	3	2	4
ENSG00000238083.3	2	1	1	2	2
ENSG00000125148.6	2	1	1	2	2
ENSG00000244731.3	1	1	1	2	1
ENSG00000224389.4	2	1	1	2	2
ENSG00000118181.6	1	5	10	1	3
ENSG00000173369.11	3	2	4	3	5
ENSG00000186468.8	1	2	19	3	1
ENSG00000114391.8	0	13	26	14	0
ENSG00000187193.8	2	1	1	2	2
ENSG00000188508.6	2	1	4	2	5
ENSG00000213462.4	2	1	1	2	2
ENSG00000105193.4	1	1	25	1	1
ENSG00000124614.9	3	3	32	4	12
ENSG00000173372.12	3	2	2	3	3
ENSG00000131469.8	1	14	27	1	4
ENSG00000171858.13	0	11	26	1	0
ENSG00000176681.10	2	1	1	2	2
#trans-eQTLs_Both	trans-eQTLs_T1	trans-eQTLs_T2
#80	314	392
