SourceGene	Shared_trans-eQTLs	Neighbors_T1	Neighbors_T2	trans-eQTLs_T1	trans-eQTLs_T2
ENSG00000185664.10	1	4	4	4	1
ENSG00000253250.2	1	1	1	1	1
ENSG00000080166.11	3	5	6	5	4
ENSG00000004799.7	0	4	1	0	0
ENSG00000186205.8	4	27	11	9	5
ENSG00000182938.4	1	1	1	1	1
ENSG00000205364.3	1	4	3	4	1
ENSG00000230567.3	1	1	1	1	1
ENSG00000159674.7	1	1	1	1	1
ENSG00000127530.2	1	1	1	1	1
ENSG00000213398.3	1	1	1	1	1
ENSG00000115008.5	1	2	1	2	1
ENSG00000188910.7	1	1	1	1	1
ENSG00000185414.15	0	1	1	0	1
ENSG00000154928.12	1	1	1	1	1
ENSG00000137857.13	1	1	1	1	1
ENSG00000135424.11	0	1	2	0	1
ENSG00000232629.4	0	4	1	0	0
ENSG00000133433.6	2	2	2	2	2
ENSG00000140988.11	0	39	33	0	1
ENSG00000173660.7	0	3	1	0	0
ENSG00000106565.13	1	1	1	1	1
ENSG00000204642.9	0	5	1	0	0
ENSG00000168028.9	0	32	13	0	0
ENSG00000166033.7	1	6	2	4	2
ENSG00000228696.4	0	1	1	0	1
ENSG00000241794.1	1	3	1	3	1
ENSG00000186468.8	0	47	22	0	0
ENSG00000138722.5	0	1	1	0	0
ENSG00000132639.8	0	10	1	1	1
ENSG00000092009.6	1	2	1	2	1
ENSG00000129204.12	1	1	1	1	1
ENSG00000165474.5	0	8	1	0	1
ENSG00000211895.3	3	8	4	7	3
ENSG00000204287.9	0	5	3	5	0
ENSG00000128710.5	0	1	1	0	1
ENSG00000091704.5	7	17	17	9	9
ENSG00000170889.9	0	37	27	0	9
ENSG00000118181.6	0	39	32	9	1
ENSG00000188100.8	0	9	2	0	0
ENSG00000085514.11	1	1	1	1	1
ENSG00000124614.9	0	49	33	0	0
ENSG00000142173.10	5	41	29	9	8
ENSG00000187498.10	1	1	1	1	1
ENSG00000170442.7	7	46	26	9	9
ENSG00000221983.3	0	40	23	6	1
ENSG00000205362.6	1	1	1	1	1
ENSG00000134871.13	1	1	1	1	1
ENSG00000142937.7	0	37	34	2	0
ENSG00000140254.8	1	1	1	1	1
ENSG00000218537.1	1	1	1	1	1
ENSG00000125534.5	2	4	2	3	2
ENSG00000174194.11	1	1	1	1	1
ENSG00000076555.11	0	8	9	0	9
ENSG00000178982.5	0	3	2	3	0
ENSG00000229314.4	5	9	8	9	5
ENSG00000113916.13	2	5	2	5	2
ENSG00000197958.8	0	34	22	0	0
ENSG00000104332.7	0	19	12	9	0
ENSG00000179344.12	2	2	2	2	2
ENSG00000204539.3	0	29	21	0	0
ENSG00000143870.8	0	1	1	0	0
ENSG00000181409.7	0	4	2	1	2
ENSG00000167526.9	0	28	23	0	0
ENSG00000196126.6	3	5	3	3	3
ENSG00000169509.5	0	32	21	7	0
ENSG00000163467.7	0	3	1	0	1
ENSG00000172867.3	0	1	3	0	0
ENSG00000204592.5	0	2	2	1	0
ENSG00000178445.8	0	2	1	2	0
ENSG00000044574.7	1	4	1	3	1
ENSG00000121552.3	1	1	3	1	3
ENSG00000187583.6	1	1	1	1	1
ENSG00000169692.8	0	9	9	0	0
ENSG00000167754.8	1	12	2	3	2
ENSG00000026025.9	6	25	19	9	9
ENSG00000161970.8	7	37	31	9	9
ENSG00000143452.11	1	1	1	1	1
ENSG00000162576.12	1	4	1	4	1
ENSG00000114942.9	1	31	28	3	9
ENSG00000104879.4	6	15	19	9	9
ENSG00000198502.5	1	1	1	1	1
ENSG00000168394.9	1	4	1	1	1
ENSG00000174500.8	0	1	1	0	0
ENSG00000188818.8	0	1	1	0	1
ENSG00000161016.11	0	47	33	0	0
ENSG00000110700.2	0	47	38	0	0
ENSG00000178934.4	0	6	4	0	0
ENSG00000105373.14	0	21	14	0	0
ENSG00000116031.7	0	3	3	0	0
ENSG00000125851.5	0	5	4	0	4
ENSG00000188269.4	1	1	1	1	1
ENSG00000169715.10	0	4	2	2	0
ENSG00000167900.7	1	4	1	4	1
ENSG00000239887.3	1	1	1	1	1
ENSG00000138326.14	0	30	28	9	0
ENSG00000176485.6	0	16	16	1	0
ENSG00000134107.4	1	9	2	8	1
ENSG00000156976.10	1	6	1	6	1
ENSG00000187627.10	0	1	1	0	0
ENSG00000231389.3	0	5	3	0	0
ENSG00000109475.12	7	31	27	9	7
ENSG00000185201.12	0	22	12	0	9
ENSG00000110484.6	1	13	10	9	1
ENSG00000244731.3	0	1	1	0	1
ENSG00000124491.11	0	1	2	0	2
ENSG00000188243.8	1	32	21	1	1
ENSG00000002933.3	1	1	1	1	1
