SourceGene	Shared_trans-eQTLs	Neighbors_T1	Neighbors_T2	rans-eQTLs_T1	trans-eQTLs_T2
ENSG00000108821.9	2	1	1	2	2
ENSG00000136942.10	2	18	18	2	2
ENSG00000105193.4	1	1	1	1	1
ENSG00000099290.11	2	1	1	2	2
ENSG00000186468.8	3	2	2	3	3
ENSG00000124614.9	4	3	3	4	4
ENSG00000131469.8	1	14	14	1	1
ENSG00000243696.4	2	1	1	2	2
ENSG00000224389.4	2	1	1	2	2
ENSG00000166441.8	1	3	3	1	1
ENSG00000163631.12	2	1	1	2	2
ENSG00000125691.8	1	16	16	1	1
ENSG00000142937.7	1	6	6	1	1
ENSG00000161016.11	1	6	6	1	1
ENSG00000137959.11	2	1	1	2	2
ENSG00000165895.13	2	1	1	2	2
ENSG00000182853.7	3	2	2	3	3
ENSG00000086061.11	2	1	1	2	2
ENSG00000138029.9	2	1	1	2	2
ENSG00000231852.2	2	1	1	2	2
ENSG00000167526.9	1	3	3	1	1
ENSG00000125148.6	2	1	1	2	2
ENSG00000173369.11	3	2	2	3	3
ENSG00000142789.15	17	16	16	17	17
ENSG00000114391.8	14	13	13	14	14
ENSG00000211893.3	2	1	1	2	2
ENSG00000196139.7	2	1	1	2	2
ENSG00000127184.6	2	1	1	2	2
ENSG00000163209.10	3	2	2	3	3
ENSG00000206172.4	3	2	2	3	3
ENSG00000213931.1	4	3	3	4	4
ENSG00000213934.5	4	3	3	4	4
ENSG00000161970.8	10	9	9	10	10
ENSG00000241794.1	3	2	2	3	3
ENSG00000134419.11	2	3	3	2	2
ENSG00000129744.2	2	1	1	2	2
ENSG00000055955.11	2	1	1	2	2
ENSG00000185303.11	3	2	2	3	3
ENSG00000173372.12	3	2	2	3	3
ENSG00000130598.11	5	4	4	5	5
ENSG00000185686.13	3	2	2	3	3
ENSG00000077522.8	2	1	1	2	2
ENSG00000142534.2	3	10	10	3	3
ENSG00000169347.12	0	16	16	0	0
ENSG00000238083.3	2	1	1	2	2
ENSG00000187193.8	2	1	1	2	2
ENSG00000162438.7	15	14	14	15	15
ENSG00000188508.6	2	1	1	2	2
ENSG00000118181.6	1	5	5	1	1
ENSG00000108107.8	4	6	6	4	4
ENSG00000143536.7	4	3	3	4	4
ENSG00000196565.8	2	2	2	2	2
ENSG00000171863.8	2	2	2	2	2
ENSG00000143631.10	2	1	1	2	2
ENSG00000170889.9	1	2	2	1	1
ENSG00000231500.2	1	1	1	1	1
ENSG00000244116.1	2	1	1	2	2
ENSG00000140416.15	5	4	4	5	5
ENSG00000122304.6	2	1	1	2	2
ENSG00000198755.6	1	2	2	1	1
ENSG00000175535.6	15	14	14	15	15
ENSG00000181092.5	3	2	2	3	3
ENSG00000084754.6	1	1	1	1	1
ENSG00000187630.10	2	1	1	2	2
ENSG00000197958.8	2	1	1	2	2
ENSG00000105372.2	5	4	4	5	5
ENSG00000188536.8	3	2	2	3	3
ENSG00000086967.9	2	1	1	2	2
ENSG00000151726.9	2	1	1	2	2
ENSG00000151632.12	2	1	1	2	2
ENSG00000180209.7	4	3	3	4	4
ENSG00000111640.10	2	1	1	2	2
ENSG00000105048.12	1	6	6	1	1
ENSG00000149806.6	3	5	5	3	3
ENSG00000172809.8	0	15	15	0	0
ENSG00000213462.4	2	1	1	2	2
ENSG00000219073.3	18	17	17	18	18
ENSG00000244731.3	2	1	1	2	2
ENSG00000211896.2	2	1	1	2	2
ENSG00000130595.12	6	5	5	6	6
ENSG00000120694.15	2	1	1	2	2
ENSG00000175206.6	1	1	1	1	1
ENSG00000173432.6	1	1	1	1	1
ENSG00000137154.8	1	9	9	1	1
ENSG00000137965.6	2	1	1	2	2
ENSG00000101470.5	3	2	2	3	3
ENSG00000138326.14	2	6	6	2	2
ENSG00000221983.3	1	3	3	1	1
ENSG00000187288.6	2	1	1	2	2
ENSG00000159189.7	3	2	2	3	3
ENSG00000083845.4	1	13	13	1	1
ENSG00000143318.8	4	3	3	4	4
ENSG00000152234.11	2	1	1	2	2
ENSG00000197756.5	17	16	16	17	17
ENSG00000144713.8	15	14	14	15	15
ENSG00000198467.9	1	1	1	1	1
ENSG00000130255.8	4	3	3	4	4
ENSG00000164776.5	2	1	1	2	2
ENSG00000157326.14	2	1	1	2	2
ENSG00000112306.7	12	11	11	12	12
ENSG00000129749.3	2	1	1	2	2
ENSG00000115268.5	0	8	8	0	0
ENSG00000122367.15	5	4	4	5	5
ENSG00000178372.6	2	1	1	2	2
ENSG00000204983.8	17	16	16	17	17
ENSG00000148303.12	10	9	9	10	10
ENSG00000122852.10	3	2	2	3	3
ENSG00000171858.13	1	11	11	1	1
ENSG00000176681.10	2	1	1	2	2
ENSG00000142615.7	16	15	15	16	16
#trans-eQTLs_Both	trans-eQTLs_T1	trans-eQTLs_T2
#394	0	0
